,dataSet,accuracy_df,accuracy_rf,f1_df,f1_rf,precision_df,precision_rf,classes_type,data_std,time_cost,feature_num,data_num
0,GAMETES_Epistasis_2-Way_20atts_0,0.5668749999999999,0.58375,0.5659348136661836,0.5834763493776954,0.5701613544523527,0.585170643967817,2,0.0,11.178225040435791,21,1600
1,GAMETES_Epistasis_2-Way_20atts_0,0.7418750000000001,0.675,0.7395779722215625,0.6743824027053684,0.7507086775687414,0.6784642665763584,2,0.0,207.32939171791077,21,1600
2,GAMETES_Epistasis_3-Way_20atts_0,0.5387500000000001,0.5625,0.5379779506148138,0.5625009789983654,0.5411185001535173,0.5637904398130352,2,0.0,12.191931009292603,21,1600
3,GAMETES_Heterogeneity_20atts_1600_Het_0,0.6325000000000001,0.63125,0.6323421038682318,0.631140053419983,0.6345896116787522,0.6325954928800639,2,0.0,1045.6612977981567,21,1600
4,GAMETES_Heterogeneity_20atts_1600_Het_0,0.6425000000000001,0.619375,0.6416241522293245,0.6189098230738364,0.6451301819839723,0.6211550392910674,2,0.0,1188.6105859279633,21,1600
5,Hill_Valley_with_noise,0.5313675475291637,0.5824915824915824,0.5295037819935853,0.5813829179025909,0.5370248230967818,0.5879250414178638,2,0.0,78.58393907546997,101,1212
6,Hill_Valley_without_noise,0.5585484474373363,0.6081012141618203,0.5574143265390978,0.6070084979633728,0.5586141608233204,0.6092719250002563,2,0.004950495049504955,19.975050926208496,101,1212
7,agaricus-lepiota,1.0,1.0,1.0,1.0,1.0,1.0,2,0.019091467157765524,9.189243078231812,23,8145
8,allbp,0.9729611607848648,0.975347023380821,0.970999443435552,0.9716183796734338,0.9704980777418696,0.9705128025276923,3,0.4410902761896511,13.423420906066895,30,3772
9,allhyper,0.9878008677780314,0.9822344405993642,0.9869897389628832,0.977624879497571,0.9872994746400398,0.9766629716767044,4,0.417614262252564,1040.8403792381287,30,3771
10,allhypo,0.9737400530503979,0.9641909814323608,0.9735223738840688,0.9599787547160854,0.9745502156036648,0.9636544071030333,3,0.4173369711202752,2020.4068140983582,30,3770
11,allrep,0.9822379538707467,0.9777318319953624,0.9801825654835218,0.9716703010066838,0.9824369438636322,0.9717145171488791,4,0.41403679174187036,1943.7532532215118,30,3772
12,analcatdata_aids,0.5399999999999999,0.58,0.5341414141414141,0.5673304473304472,0.5902380952380952,0.6431666666666667,2,0.0,4.251677989959717,5,50
13,analcatdata_asbestos,0.8176470588235294,0.7941176470588236,0.8148363555948694,0.791811145510836,0.838062550194903,0.810255063563887,2,0.054216867469879526,903.0582587718964,4,83
14,analcatdata_authorship,0.994061707523246,0.9892998027613412,0.994040908572433,0.989282713769645,0.9941504734702937,0.9896055425947177,4,0.125047620513428,923.7607851028442,71,841
15,analcatdata_bankruptcy,0.86,0.8800000000000001,0.8576551226551226,0.8766477966477966,0.9026666666666667,0.9116666666666667,2,0.0,3.6339547634124756,7,50
